trip_id,bus_id,route_id,stop_id,stop_name,arrival_time_scheduled,arrival_time_actual,departure_time_scheduled,departure_time_actual,passenger_count_boarding,passenger_count_alighting,day_of_week,date,weather_condition
TRIP_42,MH-BUS-7,MUM_Route_C,STOP_2,Panvel,08:52:35,08:53:35AM,05:27:06,,28.0,28.0,Wednesday,2024-08-04,Cloudy
TRIP_43,MH-BUS-4,MUM_Route_B,STOP_9,Kharghar,15:09:25,15:10:25,17:07:36,170936,0.0,39.0,Friday,2024-06-28,Cloudy
TRIP_44,MH-BUS-5,MUM_Route_B,STOP_6,Chembur,07:03:45,07:20:45,21:34:53,21:42:53,30.0,10.0,Wednesday,2024-08-27,Partly Cloudy
TRIP_45,MH-BUS-6,MUM_Route_B,STOP_15,Panvel,15:36:45,15:48:45,00:15:41,00:24:41,18.0,42.0,Friday,2024-08-29,Humid
TRIP_46,MH-BUS-3,MUM_Route_B,STOP_8,Ghatkopar,03:15:47,03:32:47,17:24:04,17:29:04,21.0,8.0,Sunday,2024-07-21,Sunny
TRIP_47,MH-BUS-1,MUM_Route_B,STOP_7,Kurla,04:50:42,04:50:42,04:58:45,05:00:45,0.0,18.0,Tuesday,2024-08-29,Cloudy
TRIP_48,MH-BUS-2,MUM_Route_B,STOP_5,Panvel,05:41:30,05:48:30,16:09:27,16:17:27,,2.0,Tuesday,2024-08-18,Partly Cloudy
TRIP_49,MH-BUS-1,MUM_Route_D,STOP_10,Ghatkopar,05:45:31,05:56:31,23:08:38,23:16:38,23.0,28.0,Monday,2024-06-20,Partly Cloudy
TRIP_50,MH-BUS-5,MUM_Route_B,STOP_2,Nerul,23:19:48,23:14:48,23:50:37,23:59:37,16.0,10.0,Friday,2024-06-30,Partly Cloudy
TRIP_51,MH-BUS-6,MUM_Route_C,STOP_9,CST,05:17:06,05:30:06,21:29:46,21:39:46,13.0,30.0,Monday,2024-07-06,Monsoon
TRIP_52,MH-BUS-5,MUM_Route_E,STOP_20,Colaba,17:03:26,17:16:26,03:05:53,03:08:53,65.0,9.0,Tuesday,2024-07-22,Rainy
TRIP_53,MH-BUS-5,MUM_Route_E,STOP_18,Lower Parel,01:26:11,01:36:11,10:13:23,10:16:23,24.0,39.0,Sunday,2024-08-21,Cloudy
TRIP_54,MH-BUS-1,MUM_Route_B,STOP_5,Ghatkopar,08:08:31,08:09:31,23:10:38,23:15:38,0.0,10.0,Tuesday,2024-08-05,Monsoon
TRIP_55,MH-BUS-4,MUM_Route_C,STOP_20,Worli,16:59:03,17:07:03,05:17:46,05:17:46,24.0,22.0,Monday,2024-06-25,Rainy
TRIP_56,MH-BUS-1,MUM_Route_D,STOP_12,Worli,01:30:19,01:33:19,23:04:38,,0.0,6.0,Sunday,2024-08-24,Partly Cloudy
TRIP_57,MH-BUS-7,MUM_Route_D,STOP_7,Dadar,23:45:34,,02:14:52,02:15:52,8.0,27.0,Saturday,2024-07-29,Sunny
TRIP_58,MH-BUS-5,MUM_Route_D,STOP_9,Kurla,20:33:40,20:41:40,07:08:52,07:16:52,0.0,42.0,Tuesday,2024-06-01,Sunny
TRIP_59,MH-BUS-7,MUM_Route_B,STOP_17,Colaba,12:43:40,12:44:40,00:49:56,00:49:56,9.0,13.0,Monday,2024-06-21,Humid
TRIP_60,MH-BUS-1,MUM_Route_E,STOP_2,Borivali,10:18:48,10:35:48,08:37:01,08:39:01AM,31.0,33.0,Wednesday,2024-07-02,Cloudy
TRIP_61,MH-BUS-8,MUM_Route_B,STOP_15,Churchgate,07:13:39,07:18:39,02:42:21,,14.0,0.0,Thursday,2024-07-05,Cloudy
TRIP_62,MH-BUS-2,MUM_Route_B,STOP_18,Borivali,10:38:22,10:39:22,05:21:46,05:28:46,20.0,22.0,Thursday,2024-07-17,Cloudy
TRIP_63,MH-BUS-8,MUM_Route_A,STOP_17,Andheri,23:20:05,23:35:05,11:04:20,11:07:20,24.0,9.0,Monday,2024-07-08,Humid
TRIP_64,MH-BUS-3,MUM_Route_E,STOP_17,Andheri,10:41:20,10:51:20,23:07:49,23:08:49,30.0,-2.0,Thursday,2024-08-10,Cloudy
TRIP_65,MH-BUS-4,MUM_Route_B,STOP_14,Ghatkopar,15:05:49,03:25:49PM,02:33:03,02:40:03,45.0,7.0,Saturday,2024-08-17,Monsoon
TRIP_66,MH-BUS-9,MUM_Route_E,STOP_19,Powai,22:23:31,22:23:31,14:29:57,14:39:57,31.0,2.0,Monday,2024-06-29,Monsoon
TRIP_67,MH-BUS-3,MUM_Route_E,STOP_14,Kurla,11:27:47,11:46:47,16:21:34,16:25:34,62.0,19.0,Sunday,2024-06-30,Partly Cloudy
TRIP_68,MH-BUS-4,MUM_Route_E,STOP_11,Thane,16:59:13,17:04:13,10:36:21,10:36:21,19.0,14.0,Monday,2024-08-09,humid
TRIP_69,MH-BUS-3,MUM_Route_A,STOP_8,Mulund,10:36:15,10:37:15,21:05:21,21:10:21,17.0,-2.0,Saturday,2024-08-14,Rainy
TRIP_70,MH-BUS-5,MUM_Route_C,STOP_13,Panvel,19:49:03,20:07:03,08:56:45,09:00:45,,,Tuesday,2024-08-03,Rainy
TRIP_71,MH-BUS-4,MUM_Route_C,STOP_12,Vashi,09:55:39,10:10:39,05:47:57,05:56:57,20.0,13.0,Monday,2024-08-25,Cloudy
TRIP_72,MH-BUS-3,MUM_Route_E,STOP_19,Kurla,08:27:22,08:36:22,08:34:46,08:43:46,29.0,29.0,Sunday,2024-06-25,
TRIP_73,MH-BUS-10,MUM_Route_E,STOP_18,Lower Parel,23:02:57,23:20:57,15:15:43,15:24:43,16.0,19.0,Monday,2024-07-15,Monsoon
TRIP_74,MH-BUS-7,MUM_Route_E,STOP_9,Churchgate,09:16:53,09:26:53,09:29:49,09:34:49,29.0,1.0,Sunday,2024-06-23,Cloudy
TRIP_75,MH-BUS-2,MUM_Route_A,STOP_2,Mulund,18:35:48,183948,00:17:27,00:22:27,17.0,12.0,Tuesday,2024-08-28,Cloudy
TRIP_76,MH-BUS-6,MUM_Route_A,STOP_12,Vashi,09:29:49,09:24:49,17:41:25,17:43:25,7.0,13.0,Tuesday,2024-07-02,Cloudy
TRIP_77,MH-BUS-2,MUM_Route_C,STOP_12,Chembur,21:33:18,21:46:18,05:42:28,05:50:28,27.0,0.0,Friday,2024-08-22,Cloudy
TRIP_78,MH-BUS-1,MUM_Route_E,STOP_10,Dadar,14:36:49,14:40:49,09:27:22,09:32:22,46.0,25.0,Thursday,2024-06-29,Cloudy
TRIP_79,MH-BUS-7,MUM_Route_B,STOP_7,Kurla,17:15:25,17:22:25,20:29:16,20:29:16,1.0,,Tuesday,2024-08-14,Monsoon
TRIP_80,MH-BUS-7,MUM_Route_E,STOP_13,Dadar,11:54:50,12:06:50,13:59:36,,9.0,1.0,Thursday,2024-07-06,Rainy
TRIP_81,MH-BUS-10,MUM_Route_E,STOP_1,Ghatkopar,08:04:55,08:22:55,11:26:39,11:26:39,0.0,45.0,Sunday,2024-06-23,Monsoon
TRIP_82,MH-BUS-4,MUM_Route_E,STOP_7,Kharghar,03:50:41,04:03:41,04:01:38,04:01:38,43.0,30.0,Saturday,2024-06-07,MONSOON
TRIP_83,MH-BUS-6,MUM_Route_A,STOP_10,Worli,07:39:03,,23:17:12,23:22:12,20.0,26.0,Saturday,2024-06-08,Humid
TRIP_84,MH-BUS-2,MUM_Route_A,STOP_10,Nerul,23:24:58,23:22:58,05:50:13,05:53:13,27.0,31.0,Monday,2024-06-13,Cloudy
TRIP_85,MH-BUS-7,MUM_Route_C,STOP_15,Lower Parel,12:36:26,12:49:26,09:12:56,09:12:56,11.0,1.0,Thursday,2024-07-19,Sunny
TRIP_86,MH-BUS-8,MUM_Route_D,STOP_6,Chembur,04:32:32,04:30:32,08:55:53,08:59:53,40.0,26.0,Friday,2024-08-12,Cloudy
TRIP_87,MH-BUS-7,MUM_Route_A,STOP_13,Kurla,02:42:51,,13:10:04,13:12:04,53.0,19.0,Saturday,2024-08-22,Rainy
TRIP_88,MH-BUS-10,MUM_Route_B,STOP_3,Thane,23:41:34,23:36:34,21:23:20,09:23:20PM,50.0,45.0,Friday,2024-06-18,Partly Cloudy
TRIP_89,MH-BUS-2,MUM_Route_D,STOP_17,Thane,01:17:11,01:24:11,15:31:55,15:39:55,0.0,15.0,Wednesday,2024-08-26,Sunny
TRIP_90,MH-BUS-4,MUM_Route_B,STOP_12,Panvel,13:08:03,13:16:03,13:33:05,13:37:05,37.0,8.0,Wednesday,2024-07-17,Cloudy
TRIP_91,MH-BUS-5,MUM_Route_A,STOP_13,Andheri,21:14:23,,23:46:04,,0.0,34.0,Tuesday,2024-07-20,Cloudy
TRIP_92,MH-BUS-4,MUM_Route_D,STOP_4,Kharghar,02:58:36,03:03:36,16:35:40,04:44:40PM,59.0,39.0,Sunday,2024-06-28,Monsoon
TRIP_93,MH-BUS-3,MUM_Route_E,STOP_20,Powai,23:32:17,23:44:17,10:22:49,10:32:49,22.0,0.0,Sunday,2024-08-04,Sunny
TRIP_94,MH-BUS-9,MUM_Route_A,STOP_3,Dadar,13:25:51,13:44:51,21:41:52,21:49:52,30.0,17.0,Sunday,2024-07-07,Sunny
TRIP_95,MH-BUS-4,MUM_Route_C,STOP_5,Chembur,22:06:50,22:08:50,17:34:07,17:35:07,24.0,,Saturday,2024-06-12,Humid
TRIP_96,MH-BUS-10,MUM_Route_A,STOP_11,Borivali,11:24:17,11:21:17,12:46:07,12:51:07,48.0,14.0,Thursday,2024-08-03,Sunny
TRIP_97,MH-BUS-10,MUM_Route_D,STOP_1,Vashi,11:01:52,11:16:52,00:01:55,00:01:55,4.0,0.0,Thursday,2024-07-08,Humid
TRIP_98,MH-BUS-8,MUM_Route_B,STOP_11,Powai,04:39:50,04:56:50,14:09:54,14:16:54,32.0,,Monday,2024-07-13,
TRIP_99,MH-BUS-2,MUM_Route_E,STOP_2,Nerul,01:20:59,01:22:59,18:41:05,18:49:05,25.0,9.0,Wednesday,2024-06-02,Humid
TRIP_100,MH-BUS-2,MUM_Route_D,STOP_7,Panvel,10:36:20,10:40:20,15:05:30,15:14:30,30.0,19.0,Saturday,2024-06-02,sunny
TRIP_101,MH-BUS-1,MUM_Route_B,STOP_8,Kurla,12:50:11,12:55:11,05:10:53,05:18:53,13.0,38.0,Tuesday,2024-06-15,
TRIP_102,MH-BUS-8,MUM_Route_C,STOP_3,Panvel,11:30:27,11:43:27,19:23:40,19:27:40,6.0,12.0,Friday,2024-07-14,
TRIP_103,MH-BUS-7,MUM_Route_C,STOP_5,Powai,07:53:52,08:12:52,17:09:50,17:14:50,39.0,35.0,Tuesday,2024-06-15,Cloudy
TRIP_104,MH-BUS-3,MUM_Route_A,STOP_17,Kurla,23:06:24,23:24:24,16:34:25,16:35:25,37.0,18.0,Tuesday,2024-07-22,Sunny
TRIP_105,MH-BUS-7,MUM_Route_E,STOP_3,Worli,07:17:06,07:14:06,03:45:13,03:54:13,2.0,,Monday,2024-07-18,Partly Cloudy
TRIP_106,MH-BUS-7,MUM_Route_A,STOP_13,Nerul,16:34:16,,00:19:19,00:29:19,,23.0,Thursday,2024-08-03,
TRIP_107,MH-BUS-2,MUM_Route_E,STOP_7,Powai,01:08:24,01:19:24,06:26:37,06:32:37,3.0,0.0,Monday,2024-07-08,Partly Cloudy
TRIP_108,MH-BUS-5,MUM_Route_D,STOP_17,Colaba,06:12:57,06:19:57,20:51:58,20:59:58,27.0,40.0,Sunday,2024-08-26,Sunny
TRIP_109,MH-BUS-1,MUM_Route_D,STOP_16,Vashi,22:40:04,22:49:04,09:40:06,09:40:06,23.0,8.0,Saturday,2024-07-05,Sunny
TRIP_110,MH-BUS-4,MUM_Route_B,STOP_19,Andheri,13:18:41,13:34:41,21:47:33,21:55:33,8.0,25.0,Monday,2024-08-15,Sunny
TRIP_111,MH-BUS-1,MUM_Route_A,STOP_11,Colaba,10:49:36,11:07:36,12:18:31,12:27:31,44.0,,Tuesday,2024-07-21,Rainy
TRIP_112,MH-BUS-6,MUM_Route_A,STOP_9,Vashi,07:00:07,07:05:07,10:02:55,10:06:55,11.0,9.0,Monday,2024-07-13,Sunny
TRIP_113,MH-BUS-1,MUM_Route_B,STOP_13,CST,16:44:58,16:46:58,06:41:36,06:41:36,0.0,45.0,Sunday,2024-06-12,Monsoon
TRIP_114,MH-BUS-6,MUM_Route_C,STOP_18,CST,02:28:36,02:35:36,23:42:02,23:47:02,27.0,30.0,Sunday,2024-07-18,Monsoon
TRIP_115,MH-BUS-5,MUM_Route_E,STOP_12,Churchgate,21:27:24,21:44:24,16:31:55,16:36:55,22.0,12.0,Friday,2024-06-09,Partly Cloudy
TRIP_116,MH-BUS-7,MUM_Route_E,STOP_1,Dadar,11:12:45,11:14:45,04:19:04,04:20:04,,15.0,Tuesday,2024-08-28,Rainy
TRIP_117,MH-BUS-10,MUM_Route_A,STOP_11,Bandra,03:30:55,03:25:55,20:53:00,20:58:00,0.0,15.0,Monday,2024-08-15,Humid
TRIP_118,MH-BUS-3,MUM_Route_C,STOP_13,Borivali,23:35:21,23:44:21,14:20:58,14:25:58,10.0,41.0,Saturday,2024-07-16,Partly Cloudy
TRIP_119,MH-BUS-10,MUM_Route_A,STOP_4,Chembur,23:38:27,23:47:27,23:21:52,23:27:52,35.0,31.0,Saturday,2024-08-03,Partly Cloudy
TRIP_120,MH-BUS-8,MUM_Route_A,STOP_20,Bandra,01:10:29,01:21:29,00:37:13,00:37:13,50.0,24.0,Saturday,2024-08-23,Cloudy
TRIP_121,MH-BUS-1,MUM_Route_C,STOP_15,Kurla,08:44:59,08:55:59,20:44:48,,45.0,37.0,Wednesday,2024-06-20,Partly Cloudy
TRIP_122,MH-BUS-4,MUM_Route_A,STOP_11,Bandra,22:20:44,22:16:44,19:23:50,19:28:50,27.0,19.0,Tuesday,2024-07-31,Humid
TRIP_123,MH-BUS-9,MUM_Route_A,STOP_3,Worli,23:34:38,23:46:38,12:57:08,12:58:08,19.0,8.0,Saturday,2024-07-29,Cloudy
TRIP_124,MH-BUS-4,MUM_Route_D,STOP_6,Bandra,01:04:31,01:16:31,23:06:02,11:12:02PM,37.0,28.0,Tuesday,2024-08-29,Cloudy
TRIP_125,MH-BUS-4,MUM_Route_E,STOP_10,Nerul,00:10:39,00:08:39,23:38:58,23:44:58,56.0,14.0,Sunday,2024-07-30,Monsoon
TRIP_126,MH-BUS-1,MUM_Route_D,STOP_15,Chembur,15:45:25,16:00:25,00:05:27,00:08:27,24.0,20.0,Tuesday,2024-07-29,Cloudy
TRIP_127,MH-BUS-3,MUM_Route_B,STOP_14,Thane,04:03:21,04:04:21,17:47:11,17:48:11,16.0,35.0,Wednesday,2024-06-01,Sunny
TRIP_128,MH-BUS-6,MUM_Route_A,STOP_15,Worli,04:38:05,04:50:05,07:11:36,07:20:36,29.0,13.0,Saturday,2024-07-18,Cloudy
TRIP_129,MH-BUS-4,MUM_Route_D,STOP_5,Lower Parel,13:21:12,13:38:12,22:27:01,22:32:01,3.0,17.0,Saturday,2024-06-21,Monsoon
TRIP_130,MH-BUS-8,MUM_Route_C,STOP_7,Andheri,18:59:03,19:03:03,22:59:11,23:09:11,0.0,,Thursday,2024-08-23,Monsoon
TRIP_131,MH-BUS-4,MUM_Route_E,STOP_6,Ghatkopar,08:58:25,090225,23:54:30,00:01:30,21.0,0.0,Monday,2024-07-04,Sunny
TRIP_132,MH-BUS-10,MUM_Route_B,STOP_10,Belapur,17:03:44,17:00:44,14:33:44,14:34:44,45.0,21.0,Saturday,2024-07-26,Humid
TRIP_133,MH-BUS-9,MUM_Route_B,STOP_11,Chembur,19:03:21,19:13:21,03:36:49,03:36:49,23.0,16.0,Sunday,2024-07-17,Monsoon
TRIP_134,MH-BUS-4,MUM_Route_D,STOP_18,Nerul,07:37:00,07:57:00,13:31:56,13:33:56,6.0,0.0,Tuesday,2024-08-01,Sunny
TRIP_135,MH-BUS-6,MUM_Route_C,STOP_2,Thane,22:12:54,22:29:54,00:14:29,00:20:29,15.0,4.0,Saturday,2024-07-16,Rainy
TRIP_136,MH-BUS-9,MUM_Route_D,STOP_5,Ghatkopar,20:56:09,21:16:09,20:27:43,20:33:43,15.0,0.0,Thursday,2024-08-06,Partly Cloudy
TRIP_137,MH-BUS-9,MUM_Route_E,STOP_10,Andheri,21:56:36,21:58:36,17:17:29,17:21:29,0.0,12.0,Wednesday,2024-08-26,Cloudy
TRIP_138,MH-BUS-4,MUM_Route_B,STOP_13,Kurla,01:53:01,01:52:01,16:41:22,16:49:22,19.0,20.0,Sunday,2024-07-07,Partly Cloudy
TRIP_139,MH-BUS-1,MUM_Route_A,STOP_15,Borivali,07:58:28,08:12:28,17:59:01,18:08:01,7.0,21.0,Sunday,2024-06-27,Monsoon
TRIP_140,MH-BUS-8,MUM_Route_A,STOP_10,Borivali,00:27:24,00:37:24,15:38:14,15:43:14,28.0,14.0,Monday,2024-08-13,Partly Cloudy
TRIP_141,MH-BUS-3,MUM_Route_B,STOP_13,Churchgate,04:57:22,05:00:22,02:04:00,02:05:00,48.0,18.0,Saturday,2024-08-09,Rainy
TRIP_142,MH-BUS-7,MUM_Route_D,STOP_9,Andheri,07:18:04,07:38:04,14:41:40,14:45:40,4.0,15.0,Saturday,2024-07-07,Rainy
TRIP_143,MH-BUS-8,MUM_Route_B,STOP_10,Kurla,19:58:41,19:56:41,02:27:02,02:31:02,10.0,0.0,Sunday,2024-07-01,Partly Cloudy
TRIP_144,MH-BUS-3,MUM_Route_A,STOP_5,Mulund,09:42:59,09:47:59,23:07:16,23:09:16,29.0,9.0,Wednesday,2024-06-06,Partly Cloudy
TRIP_145,MH-BUS-7,MUM_Route_C,STOP_20,Vashi,01:18:57,01:31:57,06:36:04,06:43:04,23.0,12.0,Sunday,2024-06-26,Cloudy
TRIP_146,MH-BUS-10,MUM_Route_B,STOP_11,Vashi,14:26:35,14:29:35,04:46:50,04:54:50,48.0,40.0,Tuesday,2024-06-30,Sunny
TRIP_147,MH-BUS-6,MUM_Route_E,STOP_18,Belapur,12:29:46,12:28:46,18:59:37,19:09:37,0.0,13.0,Friday,2024-07-19,Sunny
TRIP_148,MH-BUS-2,MUM_Route_D,STOP_15,Worli,01:07:57,01:10:57,18:00:22,18:06:22,7.0,25.0,Friday,2024-08-25,Cloudy
TRIP_149,MH-BUS-2,MUM_Route_B,STOP_10,Colaba,22:55:36,23:05:36,06:20:23,06:22:23,24.0,0.0,Saturday,2024-08-17,Monsoon
TRIP_150,MH-BUS-6,MUM_Route_D,STOP_4,Belapur,18:48:12,19:03:12,21:14:09,21:14:09,2.0,16.0,Saturday,2024-08-21,Humid
TRIP_151,MH-BUS-3,MUM_Route_A,STOP_4,CST,15:07:28,03:09:28PM,00:07:49,00:11:49,10.0,0.0,Wednesday,2024-07-23,Cloudy
TRIP_152,MH-BUS-9,MUM_Route_A,STOP_16,Lower Parel,13:22:15,13:25:15,22:05:18,22:07:18,29.0,6.0,Monday,2024-08-17,Sunny
TRIP_153,MH-BUS-10,MUM_Route_B,STOP_6,Andheri,11:32:33,11:44:33,17:53:57,17:53:57,0.0,-2.0,Sunday,2024-07-26,Monsoon
TRIP_154,MH-BUS-10,MUM_Route_D,STOP_15,Worli,22:35:54,22:35:54,06:11:58,06:11:58,6.0,24.0,Saturday,2024-06-19,Cloudy
TRIP_155,MH-BUS-6,MUM_Route_A,STOP_3,Kurla,10:47:52,10:57:52,17:00:02,17:01:02,47.0,,Friday,2024-07-25,Rainy
TRIP_156,MH-BUS-4,MUM_Route_C,STOP_15,Colaba,06:17:16,06:28:16,07:49:42,07:51:42,25.0,23.0,Sunday,2024-08-05,Humid
TRIP_157,MH-BUS-9,MUM_Route_B,STOP_5,Nerul,08:45:46,08:57:46,00:50:31,00:50:31,23.0,21.0,Friday,2024-06-17,Cloudy
TRIP_158,MH-BUS-9,MUM_Route_D,STOP_15,Borivali,08:40:39,08:48:39,10:23:08,10:24:08,37.0,38.0,Friday,2024-08-30,Rainy
TRIP_159,MH-BUS-5,MUM_Route_A,STOP_5,Andheri,13:54:41,14:14:41,18:09:21,18:14:21,27.0,40.0,Wednesday,2024-08-07,Cloudy
TRIP_160,MH-BUS-6,MUM_Route_B,STOP_16,Churchgate,10:16:40,10:24:40,09:44:54,09:48:54,27.0,26.0,Thursday,2024-07-07,Monsoon
TRIP_161,MH-BUS-7,MUM_Route_B,STOP_9,Ghatkopar,08:23:30,08:35:30,10:42:31,10:48:31,,24.0,Tuesday,2024-07-02,Monsoon
TRIP_162,MH-BUS-2,MUM_Route_A,STOP_17,Kharghar,01:34:46,01:42:46,16:45:39,16:45:39,25.0,8.0,Saturday,2024-06-27,Monsoon
